date,selected_count,selected_symbols
2022-01-24,4,"000007.SZ,000009.SZ,000001.SZ,000004.SZ"
2022-02-07,4,"000001.SZ,000002.SZ,000012.SZ,000006.SZ"
2022-02-14,4,"000004.SZ,000005.SZ,000014.SZ,000006.SZ"
2022-02-21,4,"000008.SZ,000010.SZ,000014.SZ,000005.SZ"
2022-02-28,4,"000008.SZ,000009.SZ,000014.SZ,000010.SZ"
2022-03-07,4,"000005.SZ,000014.SZ,000007.SZ,000006.SZ"
2022-03-14,4,"000014.SZ,000005.SZ,000006.SZ,000007.SZ"
2022-03-21,4,"000014.SZ,000001.SZ,000006.SZ,000012.SZ"
2022-03-28,4,"000011.SZ,000006.SZ,000014.SZ,000002.SZ"
