date,nav
2022-01-04,0.9999
2022-01-05,0.9966529506576365
2022-01-06,1.0038587078267907
2022-01-07,0.9994877644362
2022-01-10,1.0094112741548633
2022-01-11,1.0094631042911835
2022-01-12,1.0167229813955996
2022-01-13,1.0078672047299464
2022-01-14,0.9955396733083975
2022-01-17,1.0088447471583704
2022-01-18,1.001577373446229
2022-01-19,1.0003984685177738
2022-01-20,0.9864152084762775
2022-01-21,0.9808064941551513
2022-01-24,0.9742686604785383
2022-01-25,0.9333366885186469
2022-01-26,0.9414774158216132
2022-01-27,0.9162057765991811
2022-01-28,0.9225284108898882
2022-02-07,0.935321797368574
2022-02-08,0.9555985675100271
2022-02-09,0.9651217445003647
2022-02-10,0.9669197307220626
2022-02-11,0.9563392898092045
2022-02-14,0.9476335439480179
2022-02-15,0.9457669392968328
2022-02-16,0.954859658568625
2022-02-17,0.9483677321154478
2022-02-18,0.9647756122782939
2022-02-21,0.9784067089114917
2022-02-22,0.9700340364458288
2022-02-23,0.9711913210609447
2022-02-24,0.9462006458597859
2022-02-25,0.9526951295542254
2022-02-28,0.9466049716665645
2022-03-01,0.9526825002605203
2022-03-02,0.9535872618132569
2022-03-03,0.9561746851273948
2022-03-04,0.9444899516145239
2022-03-07,0.9268537078963517
2022-03-08,0.897772203920092
2022-03-09,0.8776072878833352
2022-03-10,0.8918332374023692
2022-03-11,0.9010687680969263
2022-03-14,0.8781417641393515
2022-03-15,0.8227268316364044
2022-03-16,0.849175027615557
2022-03-17,0.8683013021920973
2022-03-18,0.8852626995631047
2022-03-21,0.8897454382573691
2022-03-22,0.9020954197333249
2022-03-23,0.9063631414931531
2022-03-24,0.8985296833861065
2022-03-25,0.8983250473293151
2022-03-28,0.9032282120209973
2022-03-29,0.8964883501096855
2022-03-30,0.9203536956760818
2022-03-31,0.9268189766406836
2022-04-01,0.9399219800217526
2022-04-06,0.9607087479792894
2022-04-07,0.9291456294716317
2022-04-08,0.931190965435167
2022-04-11,0.8999642028152156
2022-04-12,0.9122533563396904
2022-04-13,0.8981134329786945
2022-04-14,0.90856996262979
2022-04-15,0.9004322885369426
2022-04-18,0.8953823685274072
2022-04-19,0.8992219429410633
2022-04-20,0.8857178369353775
2022-04-21,0.8556038923787973
2022-04-22,0.8471273460781968
2022-04-25,0.7824273569515169
2022-04-26,0.7606779927684936
2022-04-27,0.7800208784549565
2022-04-28,0.7733319811298409
2022-04-29,0.802652733938686
2022-05-05,0.8118315855252242
2022-05-06,0.793848404499905
2022-05-09,0.8068777109173861
2022-05-10,0.8149273784681772
2022-05-11,0.8177161291257363
2022-05-12,0.8237086826419228
2022-05-13,0.8525325459517656
2022-05-16,0.8568311463939933
2022-05-17,0.8483510851319144
2022-05-18,0.854667701024292
2022-05-19,0.8641492873901043
2022-05-20,0.8658356029628214
2022-05-23,0.8694641168517931
2022-05-24,0.8402162342485334
2022-05-25,0.857763935273383
2022-05-26,0.8699097893792391
2022-05-27,0.8741043680698017
2022-05-30,0.8813289863602917
2022-05-31,0.8987025226294127
2022-06-01,0.9031604781642927
2022-06-02,0.9069666259019106
2022-06-06,0.9083627650524141
2022-06-07,0.9131949811205531
2022-06-08,0.9091837862760102
2022-06-09,0.8936644944938392
2022-06-10,0.901407552740666
2022-06-13,0.8946414477555009
2022-06-14,0.9008259230541981
2022-06-15,0.9141184392764321
2022-06-16,0.918225408417801
2022-06-17,0.9179371188417577
2022-06-20,0.9346092194053993
2022-06-21,0.937115863672729
2022-06-22,0.9308929845943887
2022-06-23,0.9508263726102746
2022-06-24,0.949869471228673
2022-06-27,0.9506322071002943
2022-06-28,0.9559610779173965
