date,nav
2022-01-04,0.9999
2022-01-05,1.0157939897838113
2022-01-06,1.0306965573751676
2022-01-07,1.0235198181517473
2022-01-10,1.0238686580202037
2022-01-11,1.0200401222711248
2022-01-12,1.0306357123704255
2022-01-13,1.0155987623244787
2022-01-14,1.0063926870633004
2022-01-17,1.0180689861278625
2022-01-18,1.0271834869572414
2022-01-19,1.0155599311773458
2022-01-20,1.0111898288932384
2022-01-21,1.005033580615368
2022-01-24,1.010757876562349
2022-01-25,0.9713202521350497
2022-01-26,0.9781867917357836
2022-01-27,0.9483144627641097
2022-01-28,0.956795321077251
2022-02-07,0.9758962686888105
2022-02-08,1.002436340215181
2022-02-09,1.006490996651841
2022-02-10,1.0082215147957787
2022-02-11,1.0031923923007466
2022-02-14,0.9842743135784158
2022-02-15,0.9895074987314447
2022-02-16,0.9980721352765022
2022-02-17,0.994621546711419
2022-02-18,1.0157300105339266
2022-02-21,1.0194636008883173
2022-02-22,1.0131429144134083
2022-02-23,1.0147549829491298
2022-02-24,0.9859468557282226
2022-02-25,0.9914208710996659
2022-02-28,0.9741982615391657
2022-03-01,0.9894913024725558
2022-03-02,0.9912846716809608
2022-03-03,0.9870904765222658
2022-03-04,0.9730962742190535
2022-03-07,0.9540097778254207
2022-03-08,0.9218497633649267
2022-03-09,0.8999569571877591
2022-03-10,0.9104061665970575
2022-03-11,0.911777147847611
2022-03-14,0.8877661486986974
2022-03-15,0.8422633663767967
2022-03-16,0.872217964344203
2022-03-17,0.8972980208145357
2022-03-18,0.9128282586291656
2022-03-21,0.9124371067424847
2022-03-22,0.9464743675392
2022-03-23,0.9414945586395979
2022-03-24,0.9337320214548673
2022-03-25,0.9308051397646404
2022-03-28,0.9407347782919642
2022-03-29,0.9253980320348582
2022-03-30,0.9635450322621334
2022-03-31,0.9559156356705177
