quantile,factor_mean,return_mean,return_std,count,ic
1,-0.8318422138599931,-1.6658377527111159e-06,0.0009116815489080184,418888,0.005681454057251779
2,-0.38199992004452027,2.7417595687801987e-06,0.0009079048795785553,418889,0.00033109734155191027
3,0.03193727767927337,-6.166905092737056e-07,0.0009363877579132575,418886,0.0009020085017851411
4,0.43313074112411215,-5.301816713569732e-07,0.0009341309738222635,418886,-0.00021901876600839923
5,0.836073250916706,3.4261564689698455e-06,0.0008317328089863846,418888,0.005212823640321625
