factor,count,mean,std,min,max,skew,kurtosis
order_imbalance,2094537,0.01746471060835492,0.5989422457118377,-1.0,1.0,-0.06129525458213492,-1.1837355545975596
effective_spread,2094537,0.058971324428105806,0.5966427775754799,0.0,174.52,113.88665205638638,24530.500018272563
realized_volatility,2094537,0.007134872021180169,0.004589909814477631,0.0,0.05429032001379173,1.334856058873764,3.560172599359515
bid_ask_spread,2094537,0.2997757260912555,3.77324220689896,-13.52,55.37,11.433279152927561,153.495998085249
vwap_deviation,2094537,-0.9897580337614825,0.015294278216228422,-0.9906831291690074,0.0,64.69678556274265,4183.8135065010765
price_momentum,2094537,1.5240532792993726e-05,0.0018538273764549605,-0.06838799720865318,0.07162534435261714,0.9845834877161964,26.65351186352125
trade_flow_intensity,2094537,108.90114760445864,723.8113701180472,0.0,573589.0,260.0931317627325,189901.0187515174
micro_price,2094537,-0.026289263749947084,0.16003838545482216,-1.0,0.009086314584628706,-5.91982766662116,33.04471127729977
trade_imbalance,2094537,0.0513945075754057,0.7325627787022249,-9.499999999996447,87.26,10.466077772168234,696.8386278989991
depth_imbalance,2094537,1.7464710608354919,59.894224571183784,-100.0,100.0,-0.061295254582134626,-1.1837355545975605
