factor,ic,ic_abs,ls_return,return_spread,positive_ratio
price_momentum,-0.11698244317324846,0.11698244317324846,0.0,0.0,0.34822669485227187
trade_imbalance,-0.10543425197091714,0.10543425197091714,-0.0005020911540814838,-0.0005020911540814838,0.4843795940934348
order_imbalance,0.010414645606238924,0.010414645606238924,2.3851452553498425e-05,2.3851452553498425e-05,0.5244638492923618
depth_imbalance,0.010414645606238577,0.010414645606238577,2.3851452553498425e-05,2.3851452553498425e-05,0.5244638492923618
trade_flow_intensity,-0.008569639503505807,0.008569639503505807,1.7523113859887577e-05,1.7523113859887577e-05,0.6410962658340601
vwap_deviation,0.004549656153252768,0.004549656153252768,-6.007074751533256e-05,-6.007074751533256e-05,0.0
realized_volatility,0.0011431795838886775,0.0011431795838886775,2.3629677417667578e-06,2.3629677417667578e-06,0.9653540664758743
micro_price,-0.0007387643442670112,0.0007387643442670112,1.7051765881797852e-05,1.7051765881797852e-05,0.5188133923865449
bid_ask_spread,-0.0005430217426802929,0.0005430217426802929,0.0,0.0,0.9840295885927284
effective_spread,8.688607320963353e-05,8.688607320963353e-05,9.184596097344239e-06,9.184596097344239e-06,0.9774896338265453
