quantile,factor_mean,return_mean,return_std,count,ic
1,0.0003591018485815816,-2.1146018058166127e-06,0.00047308701986449093,419008,-0.001532337821503623
2,0.000816398426438324,-2.289413836267667e-07,0.0005858951736981908,419414,0.00029587946800341264
3,0.0012253921125689067,8.173213848625697e-07,0.0006685696392254974,418659,-0.0008314814829382472
4,0.0018111530197131769,1.2452246569270933e-06,0.0009833052064518817,421984,0.0005777567560688507
5,0.29309465721236755,3.6590648137029844e-06,0.001458129981339916,415372,-0.0016231953331351378
