date,selected_count,selected_symbols
2022-01-24,3,"000007.SZ,000009.SZ,000001.SZ"
2022-02-07,3,"000001.SZ,000002.SZ,000006.SZ"
2022-02-14,3,"000004.SZ,000005.SZ,000006.SZ"
2022-02-21,3,"000008.SZ,000010.SZ,000005.SZ"
2022-02-28,3,"000008.SZ,000009.SZ,000010.SZ"
2022-03-07,3,"000005.SZ,000007.SZ,000006.SZ"
2022-03-14,3,"000005.SZ,000006.SZ,000007.SZ"
2022-03-21,3,"000001.SZ,000006.SZ,000007.SZ"
2022-03-28,3,"000011.SZ,000006.SZ,000002.SZ"
