factor,source,ic_mean,ic_std,ic_ir,ic_positive_ratio,ic_count,ls_total_return,ls_mean_daily,ls_std_daily,ls_sharpe,ls_win_rate,ls_max_drawdown,ls_count,turnover_rate,status,error,elapsed_sec,score_abs_ic_mean,score_abs_ic_ir,score_ic_positive,score_ls_sharpe,score_ls_total_return,score_ls_win_rate,composite_score
micro_price,high_frequency,0.0374309213805393,0.05805306070933408,0.6447708514104401,0.8,5,0.036506488350882105,0.00722790246771404,0.007894011021270093,14.534992955045011,0.8,-0.003834288299278591,5,0.6431987247608927,ok,,0.359,0.8333333333333334,0.9583333333333334,0.9375,1.0,1.0,0.9166666666666666,0.9354166666666668
effective_spread,high_frequency,0.08578185121703424,0.17275985453375067,0.49653810747030785,0.6,5,0.028350124227059403,0.00567220738976681,0.011466728511591796,7.852588533652749,0.8,0.0,5,0.3421891604675877,ok,,0.349,0.9583333333333334,0.8333333333333334,0.7916666666666666,0.875,0.9583333333333334,0.9166666666666666,0.8958333333333334
bid_ask_spread,high_frequency,0.11118700267417245,0.14213809049474588,0.7822463513274963,0.8,5,0.011238607243773124,0.0022923212035824234,0.010453471113517182,3.4810897340598776,0.6,-0.001810263509792779,5,0.2027098831030818,ok,,0.396,1.0,1.0,0.9375,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.8749999999999999
trade_imbalance,high_frequency,0.05267012605392479,0.2174211107355342,0.24224936518695034,0.6,5,0.0187413166464121,0.003782460025080113,0.011175708383167131,5.3727861683354305,0.8,0.0,5,0.752125398512221,ok,,0.366,0.875,0.5833333333333334,0.7916666666666666,0.8333333333333334,0.875,0.9166666666666666,0.8041666666666667
order_imbalance,high_frequency,0.025965177617549816,0.06087025546267691,0.4265659379969347,0.8,5,0.017204156519841307,0.0034251471730102913,0.003947838001462173,13.772734778212483,0.8,-0.001665230271699417,5,0.7492029755579172,ok,,0.367,0.5833333333333334,0.75,0.9375,0.9375,0.8125,0.9166666666666666,0.790625
depth_imbalance,high_frequency,0.025965177617549805,0.0608702554626769,0.4265659379969346,0.8,5,0.017204156519841307,0.0034251471730102913,0.003947838001462173,13.772734778212483,0.8,-0.001665230271699417,5,0.7492029755579172,ok,,0.347,0.5416666666666666,0.7083333333333334,0.9375,0.9375,0.8125,0.9166666666666666,0.771875
pe_ttm,fundamental,-0.01390692859836079,0.0831033129913519,-0.16734505638551386,0.44,25,0.015959204373109603,0.0007383348675277482,0.014475910315677512,0.8096694720403069,0.6,-0.07211131756226719,25,0.0,ok,,0.51,0.3333333333333333,0.4166666666666667,0.6458333333333334,0.7083333333333334,0.75,0.6666666666666666,0.5520833333333334
trade_flow_intensity,high_frequency,-0.036837924642357175,0.08742450510134635,-0.4213684092309476,0.4,5,-0.010870643547952197,-0.0021202603680308407,0.011243364215637002,-2.9935959776420358,0.4,-0.022938711116603543,5,0.18225292242295432,ok,,0.357,0.75,0.6666666666666666,0.4583333333333333,0.16666666666666666,0.5833333333333334,0.1875,0.50625
circ_mv,fundamental,-0.029153019112581075,0.049693014199982254,-0.5866623222986439,0.36,25,-0.036162818339279035,-0.0014299337641279642,0.00918943311886227,-2.470173567123465,0.44,-0.061596016058385265,25,0.00028611133818360175,ok,,0.534,0.6666666666666666,0.9166666666666666,0.25,0.20833333333333334,0.25,0.3125,0.48541666666666666
vwap_deviation,high_frequency,-0.058580361500323766,0.10486359515242237,-0.5586339226227697,0.2,5,-0.032715570818084516,-0.006546865739002238,0.01280771976644509,-8.114502313382552,0.4,-0.03278561736148448,5,0.6299149840595112,ok,,0.363,0.9166666666666666,0.875,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.1875,0.4791666666666667
