factor,obs_days,avg_smallcap_n,ic_mean,ic_std,ic_ir,ic_t,ic_pos_ratio,ls_mean,ls_std,ls_ir
book_to_market,1455,198.83367697594502,0.0298952785050376,0.11934075513794634,0.2505035138287968,9.555321825612964,0.5972508591065292,0.0006331241861756463,0.008543442741024697,0.0741064469403478
earnings_yield,1455,198.83367697594502,0.014630520533281715,0.12817112359219007,0.11414833640557401,4.354126908411482,0.5443298969072164,2.3616162619588113e-05,0.009613600303584215,0.0024565367681016817
revenue_growth_yoy,1203,207.2734829592685,0.006254399462159209,0.092457024845886,0.06764655765837686,2.346272849845646,0.5303408146300914,7.218844848705645e-05,0.008126538876319192,0.00888304967043402
interest_coverage,1455,149.29003436426117,0.007342006996348412,0.12259893567923552,0.05988638445897962,2.284333931016322,0.5271477663230241,-9.753931643093965e-05,0.009409845892625217,-0.01036566565956029
roa,1455,198.83367697594502,0.007086292112702482,0.13133761533387847,0.05395477978405609,2.058076060438344,0.5147766323024054,-0.00010798754505628901,0.009705338211346703,-0.01112661328278479
roe,1455,198.83367697594502,0.005975728122363017,0.126809369902239,0.04712371118135732,1.7975086220261345,0.5147766323024054,1.1855868374828117e-05,0.010061109911209147,0.0011783857327330675
profit_growth_yoy,1203,207.332502078138,0.0029709725986552687,0.0870566625757932,0.03412688369564688,1.1836667442755073,0.513715710723192,-4.275167559020812e-05,0.007130211749512692,-0.005995849364940661
fcf_yield,1455,196.42405498281786,0.001845701286896943,0.0802005442622299,0.023013575579513466,0.8778404648272025,0.511340206185567,7.935114938608867e-05,0.006221784024403602,0.012753761473373385
gp_ta,1455,198.8192439862543,0.0014081583202250171,0.1147622029726244,0.012270227337487779,0.4680412234187659,0.5092783505154639,0.00015905386791250736,0.008821718441744827,0.01802980552630837
cfo_ratio,1455,198.83367697594502,0.0009019369663168807,0.07769058930834472,0.011609346438822854,0.4428322769308556,0.4948453608247423,0.00019820905894622515,0.006040296189825549,0.03281446020479828
accruals,1455,198.83367697594502,0.00034950203101865603,0.08592629063945771,0.004067463269014469,0.15515119909996708,0.5058419243986254,-0.00012739463262375633,0.0072176867047217185,-0.01765034114606504
ebitda_ev,410,124.60731707317073,-0.00023745206783790798,0.1314264997851814,-0.0018067289947311005,-0.0365834738750278,0.551219512195122,0.00026174069438293055,0.010804948205397062,0.02422415076938465
leverage,1455,198.83367697594502,-0.0007706187956845417,0.11272530189254236,-0.006836253997520002,-0.2607652325091958,0.5099656357388316,0.00016352522384134507,0.007818150813713877,0.020916099949684297
